heuristic, depth, train accuracy, test accuracy 
information_gain,1,0.8808,0.8752
information_gain,2,0.894,0.8886
information_gain,3,0.8994,0.893
information_gain,4,0.92,0.8856
information_gain,5,0.9376,0.8806
information_gain,6,0.952,0.8716
information_gain,7,0.9628,0.866
information_gain,8,0.9708,0.8608
information_gain,9,0.9778,0.8566
information_gain,10,0.9818,0.852
information_gain,11,0.985,0.8516
information_gain,12,0.9864,0.8496
information_gain,13,0.9868,0.8486
information_gain,14,0.9868,0.8486
information_gain,15,0.9868,0.8486
information_gain,16,0.9868,0.8486
majority_error,1,0.8912,0.8834
majority_error,2,0.8958,0.8912
majority_error,3,0.9036,0.8868
majority_error,4,0.9226,0.8808
majority_error,5,0.9348,0.875
majority_error,6,0.943,0.8704
majority_error,7,0.9532,0.8626
majority_error,8,0.962,0.8532
majority_error,9,0.9688,0.8464
majority_error,10,0.9744,0.843
majority_error,11,0.979,0.8392
majority_error,12,0.9816,0.836
majority_error,13,0.9846,0.8344
majority_error,14,0.9868,0.8342
majority_error,15,0.9868,0.8342
majority_error,16,0.9868,0.8342
gini_index,1,0.8912,0.8834
gini_index,2,0.8958,0.8912
gini_index,3,0.9064,0.8878
gini_index,4,0.9246,0.8806
gini_index,5,0.9396,0.8742
gini_index,6,0.9516,0.8636
gini_index,7,0.9636,0.8548
gini_index,8,0.9732,0.8494
gini_index,9,0.9784,0.848
gini_index,10,0.9826,0.8452
gini_index,11,0.986,0.8414
gini_index,12,0.9864,0.8416
gini_index,13,0.9868,0.8406
gini_index,14,0.9868,0.8406
gini_index,15,0.9868,0.8406
gini_index,16,0.9868,0.8406

heuristic, depth, train accuracy, test accuracy 
information_gain,1,0.8808,0.8752
information_gain,2,0.894,0.8886
information_gain,3,0.8978,0.8912
information_gain,4,0.9124,0.8822
information_gain,5,0.9302,0.8772
information_gain,6,0.944,0.8696
information_gain,7,0.9556,0.8656
information_gain,8,0.9634,0.8646
information_gain,9,0.9696,0.8588
information_gain,10,0.9756,0.8558
information_gain,11,0.9794,0.8552
information_gain,12,0.9818,0.8538
information_gain,13,0.982,0.8538
information_gain,14,0.982,0.8538
information_gain,15,0.982,0.8538
information_gain,16,0.982,0.8538
majority_error,1,0.8912,0.8834
majority_error,2,0.895,0.8898
majority_error,3,0.9024,0.8864
majority_error,4,0.9146,0.8824
majority_error,5,0.9246,0.8776
majority_error,6,0.9372,0.8706
majority_error,7,0.9492,0.8598
majority_error,8,0.9544,0.8562
majority_error,9,0.959,0.8558
majority_error,10,0.965,0.8516
majority_error,11,0.9692,0.8486
majority_error,12,0.9724,0.8466
majority_error,13,0.9766,0.842
majority_error,14,0.9808,0.8388
majority_error,15,0.982,0.838
majority_error,16,0.982,0.838
gini_index,1,0.8912,0.8834
gini_index,2,0.8948,0.8896
gini_index,3,0.899,0.8918
gini_index,4,0.9118,0.8846
gini_index,5,0.928,0.8788
gini_index,6,0.9438,0.8704
gini_index,7,0.9556,0.8648
gini_index,8,0.9646,0.8628
gini_index,9,0.9704,0.8584
gini_index,10,0.9764,0.8552
gini_index,11,0.98,0.8558
gini_index,12,0.9816,0.8542
gini_index,13,0.982,0.8542
gini_index,14,0.982,0.8542
gini_index,15,0.982,0.8542
gini_index,16,0.982,0.8542
