heuristic, depth, train accuracy, test accuracy 
information_gain,1,0.698,0.7032967032967034
information_gain,2,0.778,0.7774725274725275
information_gain,3,0.819,0.8035714285714286
information_gain,4,0.918,0.8489010989010989
information_gain,5,0.973,0.9162087912087912
information_gain,6,1.0,0.9162087912087912
gini_index,1,0.698,0.7032967032967034
gini_index,2,0.778,0.7774725274725275
gini_index,3,0.824,0.8159340659340659
gini_index,4,0.911,0.8626373626373627
gini_index,5,0.973,0.9162087912087912
gini_index,6,1.0,0.9162087912087912
majority_error,1,0.698,0.7032967032967034
majority_error,2,0.708,0.6868131868131868
majority_error,3,0.82,0.8076923076923077
majority_error,4,0.914,0.8489010989010989
majority_error,5,0.971,0.9120879120879121
majority_error,6,1.0,0.9120879120879121
